date,time,location,title,shop,format
2025/9/9,19:00,東京都,カジュアル PWS,秋葉原あずまや,スタンダード
2025/9/10,19:00,東京都,カジュアル PWS,東京MTG,スタンダード
2025/9/10,19:00,東京都,カジュアル PWS,アメニティードリーム秋葉原店,スタンダード
2025/9/10,19:00,東京都,カジュアル PWS,CARD WINGS 秋葉原駅前店,スタンダード
2025/9/10,19:00,東京都,カジュアル PWS,イエローサブマリン新宿店,スタンダード
2025/9/10,19:00,東京都,競技 PWS,Card Pot,スタンダード
2025/9/11,19:00,東京都,カジュアル PWS,カードラッシュ秋葉原0号店TC,スタンダード
2025/9/12,16:00,東京都,カジュアル PWS,スポーツカード＆カードゲームショップMINT渋谷店,スタンダード
2025/9/12,18:00,東京都,カジュアル PWS,MINTGAMES池袋店,スタンダード
2025/9/12,19:00,東京都,カジュアル PWS,ブックアニマル蒲田梅屋敷店,スタンダード
2025/9/12,19:00,東京都,カジュアル PWS,Clove Base Akihabara,スタンダード
2025/9/13,12:00,東京都,競技 PWS,晴れる屋トーナメントセンター東京,スタンダード
2025/9/13,12:00,東京都,競技 PWS,スポーツカード＆カードゲームショップMINT渋谷店,スタンダード
2025/9/13,13:00,東京都,カジュアル PWS,ボードゲーム喫茶天岩庵,スタンダード
2025/9/13,13:00,東京都,カジュアル PWS,アメニティードリーム立川店,スタンダード
2025/9/13,13:30,東京都,カジュアル PWS,東京MTG,スタンダード
2025/9/13,15:00,東京都,カジュアル PWS,イエローサブマリン秋葉原本店★ミント,スタンダード
2025/9/13,16:00,東京都,カジュアル PWS,イエローサブマリン立川店,スタンダード
2025/9/13,17:00,東京都,カジュアル PWS,フルコンプ八王子店,スタンダード
2025/9/13,17:00,東京都,カジュアル PWS,ゲームショップ武蔵,スタンダード
2025/9/13,17:00,東京都,カジュアル PWS,TCG専門店Day屋,スタンダード
2025/9/13,17:00,東京都,カジュアル PWS,晴れる屋渋谷店,スタンダード
2025/9/13,18:00,東京都,カジュアル PWS,アメニティードリーム蒲田店,スタンダード
2025/9/13,18:00,東京都,カジュアル PWS,カードボックス池袋店,スタンダード
2025/9/13,19:30,東京都,競技 PWS,Fの集会場,スタンダード
2025/9/14,11:00,東京都,カジュアル PWS,スポーツカード＆カードゲームショップMINT吉祥寺店,スタンダード
2025/9/14,11:30,東京都,カジュアル PWS,BIG MAGIC池袋店,スタンダード
2025/9/14,13:00,東京都,カジュアル PWS,アメニティードリーム町田店,スタンダード
2025/9/14,13:00,東京都,カジュアル PWS,晴れる屋吉祥寺店,スタンダード
2025/9/14,14:30,東京都,カジュアル PWS,BIG MAGIC池袋店,スタンダード
2025/9/14,15:30,東京都,競技 PWS,カードショップサトPin,スタンダード
2025/9/14,16:00,東京都,競技 PWS,遊Vic中野店,スタンダード
2025/9/14,16:00,東京都,カジュアル PWS,アメニティードリーム町田店,スタンダード
2025/9/14,17:00,東京都,カジュアル PWS,晴れる屋トーナメントセンター東京,スタンダード
2025/9/14,17:30,東京都,カジュアル PWS,BIG MAGIC池袋店,スタンダード
2025/9/14,18:00,東京都,カジュアル PWS,アメニティードリーム吉祥寺店,スタンダード
2025/9/14,18:00,東京都,カジュアル PWS,晴れる屋秋葉原店,スタンダード
2025/9/15,12:00,東京都,カジュアル PWS,ゲームショップとど,スタンダード
2025/9/15,13:00,東京都,カジュアル PWS,晴れる屋吉祥寺店,スタンダード
2025/9/15,13:00,東京都,カジュアル PWS,MINT GAMES MTG,スタンダード
2025/9/15,19:00,東京都,カジュアル PWS,東京MTG,スタンダード
2025/9/15,19:30,東京都,カジュアル PWS,TCG専門店ARCANA,スタンダード
2025/9/15,19:30,東京都,カジュアル PWS,TCG専門店ARCANA,スタンダード
2025/9/16,19:00,東京都,カジュアル PWS,秋葉原あずまや,スタンダード
2025/9/17,19:00,東京都,カジュアル PWS,アメニティードリーム秋葉原店,スタンダード
2025/9/17,19:00,東京都,カジュアル PWS,CARD WINGS 秋葉原駅前店,スタンダード
2025/9/17,19:00,東京都,カジュアル PWS,イエローサブマリン新宿店,スタンダード
2025/9/17,19:00,東京都,競技 PWS,Card Pot,スタンダード
2025/9/17,19:30,東京都,カジュアル PWS,ゲームバーグリュック,スタンダード
2025/9/19,18:30,東京都,カジュアル PWS,TSUTAYATradingCard錦糸町店,スタンダード
2025/9/19,19:00,東京都,カジュアル PWS,Clove Base Akihabara,スタンダード
2025/9/20,13:00,東京都,競技 PWS,晴れる屋吉祥寺店,スタンダード
2025/9/20,13:30,東京都,カジュアル PWS,ゲームショップ武蔵,スタンダード
2025/9/20,15:00,東京都,カジュアル PWS,イエローサブマリン秋葉原本店★ミント,スタンダード
2025/9/20,17:00,東京都,カジュアル PWS,フルコンプ八王子店,スタンダード
2025/9/20,17:00,東京都,カジュアル PWS,TCG専門店Day屋,スタンダード
2025/9/20,18:00,東京都,カジュアル PWS,アメニティードリーム蒲田店,スタンダード
2025/9/20,18:00,東京都,カジュアル PWS,カードボックス池袋店,スタンダード
2025/9/20,19:00,東京都,カジュアル PWS,TCG専門店CANTRIP,スタンダード
2025/9/21,11:00,東京都,カジュアル PWS,スポーツカード＆カードゲームショップMINT吉祥寺店,スタンダード
2025/9/21,13:00,東京都,競技 PWS,晴れる屋吉祥寺店,スタンダード
2025/9/21,16:00,東京都,競技 PWS,遊Vic中野店,スタンダード
2025/9/21,17:00,東京都,カジュアル PWS,TCGカフェ＆バー EVO,スタンダード
2025/9/21,18:00,東京都,カジュアル PWS,東京MTG,スタンダード
2025/9/21,18:00,東京都,カジュアル PWS,アメニティードリーム吉祥寺店,スタンダード
2025/9/23,13:00,東京都,競技 PWS,晴れる屋吉祥寺店,スタンダード
2025/9/24,19:00,東京都,カジュアル PWS,CARD WINGS 秋葉原駅前店,スタンダード
2025/9/24,19:00,東京都,カジュアル PWS,イエローサブマリン新宿店,スタンダード
2025/9/26,15:00,東京都,カジュアル PWS,MINT GAMES MTG,スタンダード
2025/9/26,18:00,東京都,カジュアル PWS,MINTGAMES池袋店,スタンダード
2025/9/26,19:00,東京都,カジュアル PWS,ブックアニマル蒲田梅屋敷店,スタンダード
2025/9/26,19:00,東京都,カジュアル PWS,スポーツカード＆カードゲームショップMINT渋谷店,スタンダード
2025/9/26,21:00,東京都,カジュアル PWS,CARDGYM石神井公園駅前店,スタンダード
2025/9/27,13:00,東京都,競技 PWS,晴れる屋吉祥寺店,スタンダード
2025/9/27,13:00,東京都,カジュアル PWS,アメニティードリーム立川店,スタンダード
2025/9/27,15:00,東京都,カジュアル PWS,フルコンプ八王子店,スタンダード
2025/9/27,16:00,東京都,カジュアル PWS,イエローサブマリン立川店,スタンダード
2025/9/27,17:00,東京都,カジュアル PWS,TCG専門店Day屋,スタンダード
2025/9/27,17:30,東京都,カジュアル PWS,ゲームショップ武蔵,スタンダード
2025/9/27,18:00,東京都,カジュアル PWS,アメニティードリーム蒲田店,スタンダード
2025/9/27,18:00,東京都,カジュアル PWS,晴れる屋秋葉原店,スタンダード
2025/9/27,18:00,東京都,カジュアル PWS,カードボックス池袋店,スタンダード
2025/9/27,19:00,東京都,カジュアル PWS,TCG専門店CANTRIP,スタンダード
2025/9/27,19:30,東京都,競技 PWS,Fの集会場,スタンダード
2025/9/28,11:00,東京都,カジュアル PWS,スポーツカード＆カードゲームショップMINT吉祥寺店,スタンダード
2025/9/28,12:00,東京都,競技 PWS,晴れる屋トーナメントセンター東京,スタンダード
2025/9/28,12:30,東京都,カジュアル PWS,BIG MAGIC池袋店,スタンダード
2025/9/28,13:00,東京都,カジュアル PWS,晴れる屋吉祥寺店,スタンダード
2025/9/28,15:30,東京都,競技 PWS,カードショップサトPin,スタンダード
2025/9/28,16:00,東京都,競技 PWS,遊Vic中野店,スタンダード
2025/9/28,17:00,東京都,カジュアル PWS,TCGカフェ＆バー EVO,スタンダード
2025/9/28,17:00,東京都,カジュアル PWS,MINT GAMES MTG,スタンダード
2025/9/28,18:00,東京都,カジュアル PWS,晴れる屋秋葉原店,スタンダード
2025/9/29,19:00,東京都,カジュアル PWS,東京MTG,スタンダード
2025/9/29,19:30,東京都,カジュアル PWS,TCG専門店ARCANA,スタンダード
2025/10/1,19:00,東京都,カジュアル PWS,イエローサブマリン新宿店,スタンダード
2025/10/1,19:00,東京都,競技 PWS,Card Pot,スタンダード
2025/10/1,19:30,東京都,カジュアル PWS,ゲームバーグリュック,スタンダード
2025/10/3,18:00,東京都,カジュアル PWS,LUNLUN,スタンダード
2025/10/3,18:00,東京都,カジュアル PWS,MINTGAMES池袋店,スタンダード
2025/10/3,19:00,東京都,カジュアル PWS,ブックアニマル蒲田梅屋敷店,スタンダード
2025/10/4,12:00,東京都,カジュアル PWS,ゲームショップとど,スタンダード
2025/10/4,13:00,東京都,カジュアル PWS,アメニティードリーム新宿店,スタンダード
2025/10/4,13:00,東京都,カジュアル PWS,アメニティードリーム立川店,スタンダード
2025/10/4,15:00,東京都,カジュアル PWS,フルコンプ八王子店,スタンダード
2025/10/4,18:00,東京都,カジュアル PWS,LUNLUN,スタンダード
2025/10/5,11:00,東京都,カジュアル PWS,スポーツカード＆カードゲームショップMINT吉祥寺店,スタンダード
2025/10/5,13:30,東京都,カジュアル PWS,東京MTG,スタンダード
2025/10/5,15:00,東京都,競技 PWS,Fの集会場,スタンダード
2025/10/5,15:30,東京都,競技 PWS,カードショップサトPin,スタンダード
2025/10/6,19:30,東京都,カジュアル PWS,TCG専門店ARCANA,スタンダード
2025/10/8,19:00,東京都,カジュアル PWS,イエローサブマリン新宿店,スタンダード
2025/10/8,19:00,東京都,競技 PWS,Card Pot,スタンダード
2025/10/8,19:30,東京都,競技 PWS,TCG専門店CANTRIP,スタンダード
2025/10/9,19:00,東京都,カジュアル PWS,カードラッシュ秋葉原0号店TC,スタンダード
2025/10/10,18:00,東京都,カジュアル PWS,LUNLUN,スタンダード
2025/10/10,18:00,東京都,カジュアル PWS,MINTGAMES池袋店,スタンダード
2025/10/10,19:00,東京都,カジュアル PWS,ブックアニマル蒲田梅屋敷店,スタンダード
2025/10/10,21:00,東京都,競技 PWS,CARDGYM石神井公園駅前店,スタンダード
2025/10/11,12:00,東京都,カジュアル PWS,ゲームショップとど,スタンダード
2025/10/11,13:00,東京都,カジュアル PWS,アメニティードリーム立川店,スタンダード
2025/10/11,15:00,東京都,カジュアル PWS,フルコンプ八王子店,スタンダード
2025/10/11,18:00,東京都,カジュアル PWS,LUNLUN,スタンダード
2025/10/11,18:00,東京都,カジュアル PWS,晴れる屋秋葉原店,スタンダード
2025/10/11,19:00,東京都,カジュアル PWS,TCG専門店CANTRIP,スタンダード
2025/10/12,11:00,東京都,カジュアル PWS,スポーツカード＆カードゲームショップMINT吉祥寺店,スタンダード
2025/10/12,15:00,東京都,競技 PWS,Fの集会場,スタンダード
2025/10/12,15:30,東京都,競技 PWS,カードショップサトPin,スタンダード
2025/10/13,19:30,東京都,カジュアル PWS,TCG専門店ARCANA,スタンダード
2025/10/15,19:00,東京都,カジュアル PWS,イエローサブマリン新宿店,スタンダード
2025/10/15,19:00,東京都,競技 PWS,Card Pot,スタンダード
2025/10/15,19:30,東京都,カジュアル PWS,ゲームバーグリュック,スタンダード
2025/10/15,19:30,東京都,競技 PWS,TCG専門店CANTRIP,スタンダード
2025/10/17,18:00,東京都,カジュアル PWS,MINTGAMES池袋店,スタンダード
2025/10/17,19:00,東京都,カジュアル PWS,ブックアニマル蒲田梅屋敷店,スタンダード
2025/10/18,13:00,東京都,カジュアル PWS,アメニティードリーム立川店,スタンダード
2025/10/18,15:00,東京都,カジュアル PWS,フルコンプ八王子店,スタンダード
2025/10/18,18:00,東京都,カジュアル PWS,LUNLUN,スタンダード
2025/10/18,19:00,東京都,カジュアル PWS,TCG専門店CANTRIP,スタンダード
2025/10/19,15:00,東京都,競技 PWS,Fの集会場,スタンダード
2025/10/19,15:30,東京都,競技 PWS,カードショップサトPin,スタンダード
2025/10/19,18:00,東京都,カジュアル PWS,晴れる屋秋葉原店,スタンダード
2025/10/20,19:30,東京都,カジュアル PWS,TCG専門店ARCANA,スタンダード
2025/10/22,19:00,東京都,カジュアル PWS,イエローサブマリン新宿店,スタンダード
2025/10/22,19:00,東京都,競技 PWS,Card Pot,スタンダード
2025/10/22,19:30,東京都,競技 PWS,TCG専門店CANTRIP,スタンダード
2025/10/24,18:00,東京都,カジュアル PWS,MINTGAMES池袋店,スタンダード
2025/10/24,21:00,東京都,カジュアル PWS,CARDGYM石神井公園駅前店,スタンダード
2025/10/25,15:00,東京都,カジュアル PWS,フルコンプ八王子店,スタンダード
2025/10/25,18:00,東京都,カジュアル PWS,LUNLUN,スタンダード
2025/10/25,18:00,東京都,カジュアル PWS,晴れる屋秋葉原店,スタンダード
2025/10/25,19:00,東京都,カジュアル PWS,TCG専門店CANTRIP,スタンダード
2025/10/26,11:00,東京都,カジュアル PWS,スポーツカード＆カードゲームショップMINT吉祥寺店,スタンダード
2025/10/26,15:00,東京都,競技 PWS,Fの集会場,スタンダード
2025/10/26,15:30,東京都,競技 PWS,カードショップサトPin,スタンダード
2025/10/26,17:00,東京都,カジュアル PWS,BIG MAGIC池袋店,スタンダード
2025/10/27,19:30,東京都,カジュアル PWS,TCG専門店ARCANA,スタンダード
2025/10/29,19:00,東京都,カジュアル PWS,イエローサブマリン新宿店,スタンダード
2025/10/29,19:00,東京都,競技 PWS,Card Pot,スタンダード
2025/10/29,19:30,東京都,競技 PWS,TCG専門店CANTRIP,スタンダード
2025/10/31,18:00,東京都,カジュアル PWS,MINTGAMES池袋店,スタンダード
2025/11/1,12:00,東京都,カジュアル PWS,ゲームショップとど,スタンダード
2025/11/1,15:00,東京都,カジュアル PWS,フルコンプ八王子店,スタンダード
2025/11/1,15:30,東京都,競技 PWS,カードショップサトPin,スタンダード
2025/11/1,19:00,東京都,カジュアル PWS,TCG専門店CANTRIP,スタンダード
2025/11/2,11:00,東京都,カジュアル PWS,スポーツカード＆カードゲームショップMINT吉祥寺店,スタンダード
2025/11/2,12:00,東京都,競技 PWS,ゲームショップとど,スタンダード
2025/11/2,15:30,東京都,競技 PWS,カードショップサトPin,スタンダード
2025/11/2,17:00,東京都,カジュアル PWS,BIG MAGIC池袋店,スタンダード
2025/11/3,19:30,東京都,カジュアル PWS,TCG専門店ARCANA,スタンダード
2025/11/5,19:00,東京都,競技 PWS,Card Pot,スタンダード
2025/11/5,19:30,東京都,カジュアル PWS,ゲームバーグリュック,スタンダード
2025/11/5,19:30,東京都,競技 PWS,TCG専門店CANTRIP,スタンダード
